epoch,step,val_f1_score,val_accuracy,val_loss
0,47,0.234375,0.234375,1.3898670673370361
1,95,0.234375,0.234375,1.389446496963501
2,143,0.234375,0.234375,1.3888351917266846
3,191,0.234375,0.234375,1.3883614540100098
4,192,0.234375,0.234375,1.3883614540100098
