epoch,step,val_f1_score,val_accuracy,val_loss
0,47,0.25,0.25,1.3869489431381226
1,95,0.25,0.25,1.3864786624908447
2,143,0.25,0.25,1.3860160112380981
3,191,0.25,0.25,1.3858944177627563
4,192,0.25,0.25,1.3858944177627563
