epoch,step,val_f1_score,val_accuracy,val_loss
0,47,0.234375,0.234375,1.386704921722412
1,95,0.234375,0.234375,1.3865832090377808
2,143,0.234375,0.234375,1.3864058256149292
3,191,0.234375,0.234375,1.386082410812378
4,192,0.234375,0.234375,1.386082410812378
