epoch,step,val_f1_score,val_accuracy,val_loss
0,47,0.2380952388048172,0.2380952388048172,1.3861972093582153
1,95,0.2380952388048172,0.2380952388048172,1.3860219717025757
2,143,0.2698412835597992,0.2698412835597992,1.3858270645141602
3,191,0.2698412835597992,0.2698412835597992,1.3857234716415405
4,192,0.2698412835597992,0.2698412835597992,1.3857234716415405
